Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note,Amount
2/19/2022 23:03,CUB - online payment,Food,,Random stuff for drinks,111,Expense,,111
2/19/2022 21:57,CUB - online payment,Food,,Snacks,250,Expense,,250
2/19/2022 21:35,CUB - online payment,Transportation,,Bus ticket,1575,Expense,,1575
2/19/2022 20:45,CUB - online payment,Transportation,,Took from sbi,200,Expense,,200
2/19/2022 20:45,CUB - online payment,Food,,Ramen with gobi,380,Expense,,380
2/19/2022 8:26,CUB - online payment,Transportation,,Metro,60,Expense,,60
2/19/2022 6:27,CUB - online payment,Other,,To auto anna,50,Expense,,50
2/19/2022 6:18,CUB - online payment,Transportation,,To egmore,270,Expense,,270
2/18/2022 23:01,CUB - online payment,Food,,Kfc dinner,348,Expense,,348
2/17/2022 13:11,CUB - online payment,Food,,Lunch,80,Expense,,80
2/16/2022 16:57,CUB - online payment,Food,,Side dishes,165,Expense,,165
2/16/2022 16:57,CUB - online payment,Food,,Kfc ,475,Expense,,475
2/13/2022 21:54,CUB - online payment,Social Life,,Games ,100,Expense,,100
02-12-2022 21.20,CUB - online payment,Food,,Dinner with aravind and buddies,491,Expense,,491
02-12-2022 16.04,CUB - online payment,Household,,Mirror,70,Expense,,70
02-12-2022 14.48,CUB - online payment,Food,,Lunch,80,Expense,,80
02-12-2022 14.47,CUB - online payment,Other,,From dad,10000,Income,,10000
02-11-2022 22.41,CUB - online payment,Food,,Dinner with aravind,373,Expense,,373
02-10-2022 20.15,CUB - online payment,Food,,Kfc dinner,641,Expense,,641
02-08-2022 10.37,CUB - online payment,Other,,From dad,1000,Income,,1000
02-08-2022 9.18,CUB - online payment,Household,,Bean bag,2099,Expense,,2099
02-07-2022 7.08,CUB - online payment,Transportation,,Auto to Gobi's place,214,Expense,,214
02-06-2022 18.32,CUB - online payment,Food,,Cakepark,125,Expense,,125
02-06-2022 17.53,CUB - online payment,Food,,To kumara,150,Expense,,150
02-06-2022 17.52,CUB - online payment,Transportation,,To chennai,1000,Expense,,1000
02-06-2022 16.41,CUB - online payment,Other,,Salary from dad,5000,Income,,5000
02-06-2022 16.40,CUB - online payment,Other,,To gobi,1500,Expense,,1500
02-04-2022 20.28,CUB - online payment,Food,,Shawarma,80,Expense,,80
02-03-2022 14.53,CUB - online payment,Food,,Good soup,50,Expense,,50
02-03-2022 8.59,CUB - online payment,Other,,To gowdham,150,Expense,,150
02-02-2022 20.15,CUB - online payment,Food,,Parotta,120,Expense,,120
02-02-2022 20.14,CUB - online payment,Other,,From dad,500,Income,,500
1/31/2022 8:44,CUB - online payment,Transportation,,Vnr to apk,50,Expense,,50
1/31/2022 8:27,CUB - online payment,Other,,To vicky,200,Expense,,200
1/31/2022 8:26,CUB - online payment,Transportation,,To ksr station,153,Expense,,153
1/30/2022 19:17,CUB - online payment,Food,,Dinner,155,Expense,,155
1/30/2022 19:01,CUB - online payment,Food,,Cycle gap ,120,Expense,,120
1/30/2022 12:28,CUB - online payment,Food,,Brunch,105,Expense,,105
1/29/2022 21:56,CUB - online payment,Transportation,,Rapido to pg,44,Expense,,44
1/29/2022 14:44,CUB - online payment,Other,,Sent to barath,100,Expense,,100
1/28/2022 21:58,CUB - online payment,Food,,Banana,10,Expense,,10
1/28/2022 14:23,CUB - online payment,Food,,Lunch with company,138,Expense,,138
1/27/2022 21:25,CUB - online payment,Transportation,,Rapido to pg,43,Expense,,43
1/27/2022 13:41,CUB - online payment,Other,,To vicky,300,Expense,,300
1/27/2022 13:41,CUB - online payment,Other,,To vishnu,100,Expense,,100
